CODREV3,rnombre
9233,"JARDINES BOTANICOS, ZOOLOGICOS Y PARQUE NACIONALES"
9241,PROMOTORAS Y PRODUCTORAS DE ESPECTACULOS
9249,AGENCIAS DE CONTRATACION DE ACTORES Y ACTRICES
9301,LAVANDERIAS
9302,PELUQUERIAS
9303,AGENCIAS FUNERARIAS
9309,ASTROLOGIA Y ESPIRITISMO
9500,"SERV. DE MOZOS DE CUADRA, CHOFERES, CONSERJES, ETC."
9900,BANCO MUNDIAL
9999,OTRAS ACTIVIDADES N.C.P.
, 
